# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
1699.29    -615.7    50.0
1064.69    885.1    50.0
884.45    119.3    50.0
1121.97    -1165.9    50.0
1956.18    77.4    50.0
2418.65    -49.6    50.0
3657.42    -49.5    50.0
2461.64    152.0    50.0
90.17    54.0    50.0
1633.80    -618.6    50.0
2816.93    -659.9    50.0
1869.07    -504.6    50.0
2089.21    1526.2    50.0
1525.02    -803.3    50.0
2514.72    -563.1    50.0
574.13    -171.8    50.0
786.84    327.2    50.0
1554.77    1397.7    50.0
2095.13    -87.0    50.0
707.82    1771.2    50.0
101.75    254.5    50.0
390.02    -192.5    50.0
936.70    -1031.4    50.0
3343.11    -188.9    50.0
2686.25    312.0    50.0
3088.64    -494.2    50.0
2755.43    238.7    50.0
2170.71    464.1    50.0
981.98    666.6    50.0
1214.93    784.9    50.0
1691.43    475.9    50.0
2454.07    -1062.3    50.0
608.61    51.2    50.0
2525.97    243.1    50.0
380.82    197.4    50.0
41.43    -2469.3    50.0
242.29    434.5    50.0
183.34    -2018.4    50.0
627.86    170.0    50.0
1041.55    -575.5    50.0
102.38    -43.6    50.0
115.49    -180.5    50.0
441.39    1751.7    50.0
1006.10    741.7    50.0
1983.67    -239.6    50.0
3216.80    -1322.3    50.0
1910.50    414.8    50.0
1478.00    -89.5    50.0
2374.33    -98.9    50.0
262.46    812.4    50.0
639.63    -1326.4    50.0
2014.22    201.0    50.0
1898.81    -205.0    50.0
595.46    1853.0    50.0
1003.29    682.6    50.0
734.40    853.7    50.0
1175.64    -286.1    50.0
1850.01    366.0    50.0
1255.25    36.2    50.0
3429.13    -1270.8    50.0
202.24    814.8    50.0
1521.11    1153.1    50.0
1130.37    690.7    50.0
204.61    -722.6    50.0
2430.06    -1789.1    50.0
1082.68    -146.5    50.0
1899.85    124.6    50.0
855.09    1456.0    50.0
1331.93    279.5    50.0
419.52    -89.6    50.0
877.56    -709.3    50.0
2230.80    366.6    50.0
1537.92    26.5    50.0
1038.20    -482.0    50.0
454.15    -796.6    50.0
2494.32    361.0    50.0
2240.41    767.5    50.0
1383.06    429.2    50.0
89.99    -1625.2    50.0
532.71    652.9    50.0
471.70    -62.4    50.0
660.34    1067.8    50.0
3318.19    -554.2    50.0
263.52    -494.3    50.0
702.26    776.3    50.0
930.29    -387.4    50.0
2357.06    845.9    50.0
1330.90    -611.3    50.0
1547.11    1375.9    50.0
98.04    -785.5    50.0
89.99    2087.7    50.0
2336.27    1387.6    50.0
4873.97    -272.8    50.0
1745.29    1035.3    50.0
3069.05    -1123.0    50.0
1411.40    -1182.6    50.0
1395.94    137.8    50.0
1314.71    40.5    50.0
1259.51    -1413.6    50.0
4686.26    -419.1    50.0
1319.72    456.1    50.0
1154.38    -363.5    50.0
5033.52    766.7    50.0
266.81    -979.7    50.0
2996.78    292.9    50.0
1800.31    24.8    50.0
326.88    -1395.2    50.0
854.35    321.2    50.0
265.63    -719.9    50.0
2916.27    185.1    50.0
1406.77    -240.9    50.0
1247.60    -1388.4    50.0
1928.07    -367.1    50.0
1698.49    608.6    50.0
2084.17    -209.7    50.0
1078.34    -1375.0    50.0
2292.50    638.3    50.0
846.37    -387.1    50.0
143.24    -2404.0    50.0
2883.74    600.0    50.0
1560.28    485.1    50.0
2469.33    -92.3    50.0
1477.12    -354.1    50.0
1522.21    466.8    50.0
502.68    749.3    50.0
716.78    -651.0    50.0
2171.58    203.9    50.0
612.00    -1127.4    50.0
924.95    -432.8    50.0
262.02    -69.9    50.0
2053.85    303.6    50.0
2042.52    1641.2    50.0
689.40    -531.3    50.0
646.93    504.3    50.0
1172.57    -319.2    50.0
162.39    -1671.3    50.0
4942.01    -846.0    50.0
1126.77    -879.0    50.0
2214.04    -213.0    50.0
1589.26    -1484.4    50.0
1134.65    262.6    50.0
1668.01    -1059.6    50.0
1767.62    88.2    50.0
1672.70    -131.2    50.0
1667.07    -1530.4    50.0
565.10    -1691.2    50.0
600.34    -510.0    50.0
1556.97    -457.3    50.0
2255.35    237.7    50.0
1921.76    -245.0    50.0
1839.11    -1829.3    50.0
1497.12    -292.9    50.0
5737.53    451.1    50.0
217.58    742.9    50.0
1876.46    -2180.3    50.0
755.32    210.7    50.0
2449.34    718.2    50.0
2269.47    847.4    50.0
1764.60    -736.2    50.0
1204.58    1703.6    50.0
850.93    739.3    50.0
398.72    -2828.4    50.0
1832.03    374.0    50.0
654.51    962.2    50.0
1970.66    1396.0    50.0
872.32    -1263.4    50.0
495.88    133.3    50.0
1267.80    -747.5    50.0
663.93    1019.5    50.0
1839.98    911.0    50.0
1757.64    528.3    50.0
229.12    1817.1    50.0
8777.59    733.0    50.0
297.48    560.4    50.0
263.00    -1741.2    50.0
295.25    -429.5    50.0
1017.23    309.4    50.0
623.14    -290.3    50.0
576.21    1117.3    50.0
4725.13    1056.4    50.0
3396.43    -337.2    50.0
2921.53    52.5    50.0
907.25    -35.5    50.0
1480.97    150.0    50.0
1399.81    638.0    50.0
1090.56    -1203.3    50.0
1765.64    -1153.4    50.0
1508.33    663.2    50.0
1838.55    -760.3    50.0
1301.65    74.5    50.0
